CategoryString,_raw,_time,action,app,bid,bunit,category,change_type,city,country,cve,cvss,cvss_base_score,cvss_temporal_score,cvss_temporal_vector,cvss_vector,cwe,dest,dest_asset_id,dest_asset_tag,dest_bunit,dest_category,dest_city,dest_country,dest_dns,dest_ip,dest_is_expected,dest_lat,dest_long,dest_mac,dest_nt_host,dest_owner,dest_pci_domain,dest_port,dest_port_proto,dest_priority,dest_requires_av,dest_service,dest_should_timesync,dest_should_update,dns,enabled,end_time,eventtype,host,ids_type,index,ip,is_expected,lat,linecount,long,mac,name,nessus_os,nessus_plugin_id,nt_host,object,object_category,os,osvdb,owner,pci_domain,priority,product,protocol,protocol_name,punct,range,requires_av,result,severity,severity_id,should_timesync,should_update,signature,signature_family,signature_id,source,sourcetype,splunk_server,splunk_server_group,src,src_asset_id,src_asset_tag,src_bunit,src_category,src_city,src_country,src_dns,src_ip,src_is_expected,src_lat,src_long,src_mac,src_nt_host,src_owner,src_pci_domain,src_priority,src_requires_av,src_should_timesync,src_should_update,start_time,status,status_description,subject,ta_windows_security_CategoryString,tag,tag::action,tag::app,tag::dest_requires_av,tag::dest_should_timesync,tag::dest_should_update,tag::eventtype,tag::is_expected,tag::requires_av,tag::should_timesync,tag::should_update,tag::signature,tag::sourcetype,threat_intel_source,timestamp,transport,user_type,vendor,vendor_product,xref
,"start_time=""Thu Feb 20 18:09:23 2020"" end_time=""Thu Feb 20 18:09:23 2020"" dest_dns=""HOST-003"" dest_mac=""52:70:fa:52:7c:e4"" dest_ip=""10.11.36.11"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" cvss_base_score=""4.3"" cvss_vector=""CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N"" dest_port_proto=""microsoft-ds(139/tcp)"" severity_id=""0"" signature_family=""Service detection"" signature_id=""12122"" signature=""Terminal Services Encryption Level is not FIPS-140 Compliant"" bid=""1499"" cve=""CVE-2017-1000385"" cve=""CVE-2017-17428"" cve=""CVE-2017-6168"" cwe=""200"" osvdb=""8230"" osvdb=""299"" xref=""OSVDB:8230"" xref=""OSVDB:299"" xref=""CWE:200"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:15:48.000+0000,,,1499,,,,,,"CVE-2017-1000385
CVE-2017-17428
CVE-2017-6168",4.3,4.3,,,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N,200,HOST-003,,,,,,,HOST-003,10.11.36.11,false,,,52:70:fa:52:7c:e4,,,untrust,139,microsoft-ds(139/tcp),,false,,false,false,,,Thu Feb 20 18:09:23 2020,nessus nessus_misconfigured_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",12122,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3","8230
299",,,,Nessus,,,Err:509,,,,informational,0,,,Terminal Services Encryption Level is not FIPS-140 Compliant,Service detection,12122,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 18:09:23 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,"OSVDB:8230
OSVDB:299
CWE:200"
,"start_time=""Thu Feb 20 17:47:01 2020"" end_time=""Thu Feb 20 17:47:01 2020"" dest_dns=""HOST-003"" dest_mac=""fb:69:33:d1:44:a4"" dest_ip=""10.11.36.12"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" cvss_base_score=""4.3"" cvss_temporal_score=""4.3"" cvss_temporal_vector=""CVSS2#E:F/RL:OF/RC:C"" cvss_vector=""CVSS2#AV:N/AC:M/Au:N/C:P/I:N/A:N"" dest_port_proto=""general (0/tcp)"" severity_id=""4"" signature_family=""Settings"" signature_id=""11620"" signature=""Terminal Services Encryption Level is Medium or Low"" bid=""75500"" cve=""CVE-2017-1000385"" cve=""CVE-2017-5715"" cve=""CVE-2017-17428"" osvdb=""8230"" osvdb=""17131"" xref=""OSVDB:8230"" xref=""OSVDB:17131"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:14:42.000+0000,,,75500,,,,,,"CVE-2017-1000385
CVE-2017-5715
CVE-2017-17428",4.3,4.3,4.3,CVSS2#E:F/RL:OF/RC:C,CVSS2#AV:N/AC:M/Au:N/C:P/I:N/A:N,,HOST-003,,,,,,,HOST-003,10.11.36.12,false,,,fb:69:33:d1:44:a4,,,untrust,0,general (0/tcp),,false,,false,false,,,Thu Feb 20 17:47:01 2020,nessus nessus_misconfigured_wireless_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",11620,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3","8230
17131",,,,Nessus,,,Err:509,,,,critical,4,,,Terminal Services Encryption Level is Medium or Low,Settings,11620,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:47:01 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,"OSVDB:8230
OSVDB:17131"
,"start_time=""Thu Feb 20 18:02:40 2020"" end_time=""Thu Feb 20 18:02:40 2020"" dest_dns=""HOST-003"" dest_nt_host=""HOST-001"" dest_mac=""0b:4a:fe:06:36:92"" dest_ip=""10.11.36.16"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" dest_port_proto=""el-random(2324/tcp)"" severity_id=""2"" signature_id=""10989"" signature=""Common Platform Enumeration (CPE)"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:14:13.000+0000,,,,,,,,,,,,,,,,HOST-003,,,,,,,HOST-003,10.11.36.16,false,,,0b:4a:fe:06:36:92,HOST-001,,untrust,2324,el-random(2324/tcp),,false,,false,false,,,Thu Feb 20 18:02:40 2020,nessus nessus_misconfigured_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",10989,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",,,,,Nessus,,,Err:509,,,,medium,2,,,Common Platform Enumeration (CPE),,10989,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 18:02:40 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,
,"start_time=""Thu Feb 20 17:34:35 2020"" end_time=""Thu Feb 20 17:34:35 2020"" dest_ip=""10.11.36.28"" os=""Microsoft Windows XP Professional SP3"" dest_port_proto=""el-random(1820/tcp)"" severity_id=""1"" signature_id=""12258"" signature=""Additional DNS Hostnames"" dest_dns=""HOST-003"" dest_nt_host=""HOST-006"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:13:48.000+0000,,,,,,,,,,,,,,,,HOST-003,,,,,,,HOST-003,10.11.36.28,false,,,,HOST-006,,untrust,1820,el-random(1820/tcp),,false,,false,false,,,Thu Feb 20 17:34:35 2020,nessus nessus_misconfigured_wireless_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,Microsoft Windows XP Professional SP3,12258,,,,Microsoft Windows XP Professional SP3,,,,,Nessus,,,Err:509,,,,low,1,,,Additional DNS Hostnames,,12258,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:34:35 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,
,"start_time=""Thu Feb 20 17:28:12 2020"" end_time=""Thu Feb 20 17:28:12 2020"" dest_dns=""HOST-003"" dest_mac=""74:c2:0a:56:49:99"" dest_ip=""10.11.36.23"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" cvss_base_score=""2.6"" cvss_vector=""CVSS2#AV:N/AC:H/Au:N/C:P/I:P/A:P"" dest_port_proto=""el-random(2324/tcp)"" severity_id=""0"" signature_family=""Service detection"" signature_id=""11026"" signature=""Unknown Service Detection: Banner Retrieval"" bid=""89760"" cve=""CVE-2007-3008"" cve=""CVE-2017-13099"" cve=""CVE-2016-6883"" cwe=""200"" osvdb=""17131"" osvdb=""299"" xref=""OSVDB:17131"" xref=""OSVDB:299"" xref=""CWE:200"" xref=""IAVB:2013-B-0083"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:13:40.000+0000,,,89760,,,,,,"CVE-2007-3008
CVE-2017-13099
CVE-2016-6883",2.6,2.6,,,CVSS2#AV:N/AC:H/Au:N/C:P/I:P/A:P,200,HOST-003,,,,,,,HOST-003,10.11.36.23,false,,,74:c2:0a:56:49:99,,,untrust,2324,el-random(2324/tcp),,false,,false,false,,,Thu Feb 20 17:28:12 2020,nessus nessus_plugin_avail nessus_system_version nessus_unauthorized_wireless_device,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",11026,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3","17131
299",,,,Nessus,,,Err:509,,,,informational,0,,,Unknown Service Detection: Banner Retrieval,Service detection,11026,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:28:12 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,"OSVDB:17131
OSVDB:299
CWE:200
IAVB:2013-B-0083"
,"start_time=""Thu Feb 20 17:14:16 2020"" end_time=""Thu Feb 20 17:14:16 2020"" dest_ip=""10.11.36.29"" os=""Cisco Router"" dest_port_proto=""netbios-ssn(139/tcp)"" severity_id=""0"" signature_id=""11620"" signature=""Terminal Services Encryption Level is Medium or Low"" dest_nt_host=""HOST-003"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:10:36.000+0000,,,,,,,,,,,,,,,,HOST-003,,,,,,,,10.11.36.23,false,,,,HOST-003,,untrust,139,netbios-ssn(139/tcp),,false,,false,false,,,Thu Feb 20 17:14:16 2020,nessus nessus_misconfigured_wireless_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,Cisco Router,11620,,,,Cisco Router,,,,,Nessus,,,Err:509,,,,informational,0,,,Terminal Services Encryption Level is Medium or Low,,11620,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:14:16 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,
,"start_time=""Thu Feb 20 17:46:25 2020"" end_time=""Thu Feb 20 17:46:25 2020"" dest_dns=""HOST-003"" dest_mac=""8b:66:79:4a:bf:c5"" dest_ip=""10.11.36.6"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" cvss_base_score=""5.1"" cvss_vector=""CVSS2#AV:N/AC:M/Au:N/C:P/I:N/A:N"" dest_port_proto=""el-random(1820/tcp)"" severity_id=""2"" signature_family=""Settings"" signature_id=""19506"" signature=""Nessus Scan Information"" bid=""136"" cve=""CVE-2017-17427"" cve=""CVE-2017-5715"" cve=""CVE-2017-5715"" cwe=""201"" osvdb=""299"" osvdb=""17131"" xref=""OSVDB:299"" xref=""OSVDB:17131"" xref=""CWE:201"" xref=""IAVA:2013-A-0077"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:10:29.000+0000,,,136,,,,,,"CVE-2017-17427
CVE-2017-5715
CVE-2017-5715",5.1,5.1,,,CVSS2#AV:N/AC:M/Au:N/C:P/I:N/A:N,201,HOST-003,,,,,,,HOST-003,10.11.36.23,false,,,8b:66:79:4a:bf:c5,,,untrust,1820,el-random(1820/tcp),,false,,false,false,,,Thu Feb 20 17:46:25 2020,nessus nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",19506,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3","299
17131",,,,Nessus,,,Err:509,,,,medium,2,,,Nessus Scan Information,Settings,19506,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:46:25 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,"OSVDB:299
OSVDB:17131
CWE:201
IAVA:2013-A-0077"
,"start_time=""Thu Feb 20 17:12:43 2020"" end_time=""Thu Feb 20 17:12:43 2020"" dest_dns=""HOST-003"" dest_mac=""af:fd:16:4f:9e:d8"" dest_ip=""10.11.36.17"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" dest_port_proto=""el-random(2426/tcp)"" severity_id=""3"" signature_family=""Service detection"" signature_id=""12122"" signature=""Terminal Services Encryption Level is not FIPS-140 Compliant"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:10:29.000+0000,,,,,,,,,,,,,,,,HOST-003,,,,,,,HOST-003,10.11.36.23,false,,,af:fd:16:4f:9e:d8,,,untrust,2426,el-random(2426/tcp),,false,,false,false,,,Thu Feb 20 17:12:43 2020,nessus nessus_misconfigured_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",12122,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",,,,,Nessus,,,Err:509,,,,high,3,,,Terminal Services Encryption Level is not FIPS-140 Compliant,Service detection,12122,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:12:43 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,
,"start_time=""Thu Feb 20 17:41:57 2020"" end_time=""Thu Feb 20 17:41:57 2020"" dest_dns=""HOST-003"" dest_nt_host=""ops-sys-001"" dest_mac=""73:09:b0:ec:6a:35"" dest_ip=""10.11.36.4"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" cvss_base_score=""5.1"" cvss_vector=""CVSS2#AV:N/AC:H/Au:N/C:P/I:P/A:P"" dest_port_proto=""el-random(2426/tcp)"" severity_id=""3"" signature_id=""12258"" signature=""Additional DNS Hostnames"" bid=""32319"" cve=""CVE-2017-17427"" cve=""CVE-2017-17427"" cve=""CVE-2017-17427"" osvdb=""8230"" osvdb=""17131"" xref=""OSVDB:8230"" xref=""OSVDB:17131"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:09:51.000+0000,,,32319,,,,,,"CVE-2017-17427
CVE-2017-17427
CVE-2017-17427",5.1,5.1,,,CVSS2#AV:N/AC:H/Au:N/C:P/I:P/A:P,,HOST-003,,,,,,,HOST-003,10.11.36.4,false,,,73:09:b0:ec:6a:35,ops-sys-001,,untrust,2426,el-random(2426/tcp),,false,,false,false,,,Thu Feb 20 17:41:57 2020,nessus nessus_misconfigured_wireless_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",12258,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3","8230
17131",,,,Nessus,,,Err:509,,,,high,3,,,Additional DNS Hostnames,,12258,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:41:57 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,"OSVDB:8230
OSVDB:17131"
,"start_time=""Thu Feb 20 17:09:56 2020"" end_time=""Thu Feb 20 17:09:56 2020"" dest_dns=""HOST-003"" dest_mac=""60:6e:74:df:78:fb"" dest_ip=""10.11.36.11"" os=""Microsoft Windows XP Service Pack 2"" os=""Microsoft Windows XP Service Pack 3"" cvss_base_score=""5.1"" cvss_vector=""CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N"" dest_port_proto=""el-random(827/tcp)"" severity_id=""4"" signature_family=""Service detection"" signature_id=""12122"" signature=""Terminal Services Encryption Level is not FIPS-140 Compliant"" bid=""55704"" cve=""CVE-2017-3145"" cve=""CVE-2017-12373"" cve=""CVE-2017-15649"" osvdb=""8230"" osvdb=""17131"" xref=""OSVDB:8230"" xref=""OSVDB:17131"" 
---splunk-ta-nessus-end-of-event---

",2020-02-20T18:08:13.000+0000,,,55704,,,,,,"CVE-2017-3145
CVE-2017-12373
CVE-2017-15649",5.1,5.1,,,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N,,HOST-003,,,,,,,HOST-003,10.11.36.23,false,,,60:6e:74:df:78:fb,,,untrust,827,el-random(827/tcp),,false,,false,false,,,Thu Feb 20 17:09:56 2020,nessus nessus_misconfigured_device nessus_plugin_avail nessus_system_version,127.0.0.1,,main,,,,4,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3",12122,,,,"Microsoft Windows XP Service Pack 2
Microsoft Windows XP Service Pack 3","8230
17131",,,,Nessus,,,Err:509,,,,critical,4,,,Terminal Services Encryption Level is not FIPS-140 Compliant,Service detection,12122,eventgen,nessus,prd-p-vj7zgflpcb88,,,,,,,,,,,,,,,,,,,,,,Thu Feb 20 17:09:56 2020,,,,,"inventory
os
report
system
version
vulnerability",,,,,,"inventory
os
report
system
version
vulnerability",,,,,,,,none,tcp,,Tenable,,"OSVDB:8230
OSVDB:17131"
